"Achievements.ARCHAEOLOGIST_Description","Kill Doctor Bones."
"Achievements.ARCHAEOLOGIST_Name","Archaeologist"
"Achievements.BALEFUL_HARVEST_Description","Reach the 15th wave of a pumpkin moon, where evil lurks among the autumn harvest."
"Achievements.BALEFUL_HARVEST_Name","Baleful Harvest"
"Achievements.BEGONE_EVIL_Description","Smash a demon or crimson altar with a powerful, holy hammer."
"Achievements.BEGONE_EVIL_Name","Begone, Evil!"
"Achievements.BEHIND_THE_MASK_Description","Slay the Insane Cultist, a mad magician with powerful spells."
"Achievements.BEHIND_THE_MASK_Name","Behind The Mask"
"Achievements.BENCHED_Description","Craft your first work bench."
"Achievements.BENCHED_Name","Benched"
"Achievements.BIG_BOOTY_Description","Unlock one of the dungeon's large, mysterious chests with a special key."
"Achievements.BIG_BOOTY_Name","Big Booty"
"Achievements.BLOODBATH_Description","Survive a blood moon, a nocturnal event where the rivers run red and monsters swarm aplenty."
"Achievements.BLOODBATH_Name","Bloodbath"
"Achievements.BONED_Description","Defeat Skeletron, the cursed guardian of the dungeon."
"Achievements.BONED_Name","Boned"
"Achievements.BUCKETS_OF_BOLTS_Description","Defeat the three nocturnal mechanical menaces: the Twins, the Destroyer, and Skeletron Prime."
"Achievements.BUCKETS_OF_BOLTS_Name","Buckets of Bolts"
"Achievements.BULLDOZER_Description","Destroy a total of 10,000 tiles."
"Achievements.BULLDOZER_Name","Bulldozer"
"Achievements.ChallengerCategory","Challenger"
"Achievements.CHAMPION_OF_TERRARIA_Description","Defeat the Moon Lord."
"Achievements.CHAMPION_OF_TERRARIA_Name","Champion of Terraria"
"Achievements.CollectorCategory","Collector"
"Achievements.Completed","Achievement complete! {0}"
"Achievements.COMPLETELY_AWESOME_Description","Obtain a minishark."
"Achievements.COMPLETELY_AWESOME_Name","Completely Awesome"
"Achievements.DAVY_JONES_LOCKER_Description","Defeat the Flying Dutchman, the sails of the plunderin' skies."
"Achievements.DAVY_JONES_LOCKER_Name","Davy Jones' Locker"
"Achievements.DECEIVER_OF_FOOLS_Description","Kill a nymph."
"Achievements.DECEIVER_OF_FOOLS_Name","Deceiver of Fools"
"Achievements.DEFEAT_DREADNAUTILUS_Description","Defeat the Dreadnautilus, murderous mollusk lurking beneath the surface of the sanguine seas."
"Achievements.DEFEAT_DREADNAUTILUS_Name","Don't Dread on Me"
